shoe_name,url,positive_text,negative_text
Adidas 4DFWD,https://runrepeat.com/adidas-4dfwd,"Who should buy: A successor to Adidas' 3D midsole saga, the 4DFWD wears its innovative 3D-printed cushioning on its dreamy knit sleeve. Add this shoe to your shopping cart if you want a pair that catches the eyes of many, whether in a casual or running setting, and if futuristic sneakers are your thing. Pros: Bouncier than most 4D shoes, comfortable in-shoe feel, wider-than-average sole, very flexible, durable outsole, innovative cushioning tech, attention grabber, sustainable.","Who should not buy: If you prefer a lighter and more affordable pair of Adidas running shoes, consider the Adizero Boston 11. If you are concerned about the upper stretching out too much over time, look at the 4DFWD v2 instead because it comes with a more structured upper. Cons: Upper stretches a lot over time, lacks breathability, rather heavy."
Adidas 4DFWD 2,https://runrepeat.com/adidas-4dfwd-2,"Who should buy: This distinctive offering from Adidas is a solid option to consider if you are a sneakerhead and want a running shoe that looks, and indeed is, very cool, for your casual and daily runs, or to use all day. Pros: Unique midsole construction, supportive fit, comfortable in-shoe feel, good grip on roads, extremely durable, plenty flexible, stunning design, environmental-friendly.","Who should not buy: If you want an affordable option, the Adidas Adistar is a better choice. If you need something lighter instead, the Adidas Adizero Boston 11 is about 80 g lighter in a men's US 9. Cons: Not for the budget-minded, very heavy, not for wide feet, some breaking-in required."
Adidas 4DFWD 3,https://runrepeat.com/adidas-4dfwd-3,"Who should buy: The Adidas 4DFWD 3 is an excellent choice for neutral runners in the market for a well-cushioned and flexible daily trainer for low-intensity runs, runners in cooler climates looking for a shoe that will keep their feet warm and perform consistently all year round, and style-minded individuals looking for an eye-catching exercise shoe that's also good for strutting about town. Pros: Extremely comfortable, excellent traction, great 4D midsole cushion, durable upper and outsole, flexible and forgiving on the foot, secure lockdown, works great as a walking shoe, warm and consistent in the cold, eye-catching design, lots of colorway options.","Who should not buy: With its lackluster performance in the breathability test, the 4DFWD 3 is not very well suited for warm weather runs; the Allbirds Tree Dasher 2.0 is better ventilated. At 12.3 oz (348 g), the 4DFWD 3 is not as light as its appearance suggests; the ASICS Dynablast 3 is a much lighter and more versatile option for runners who are more serious about running. The toebox may prove a little too snug for runners with broad feet; the Adidas Switch FWD is a roomier alternative. Overpronators will not find the stability they need with the 4DFWD and should look into options like the Brooks Adrenaline GTS 23 or Nike Structure 25 instead. Cons: Quite heavy, not good for high speeds or long distances, below average breathability, relatively narrow toebox."
Adidas Adistar,https://runrepeat.com/adidas-adistar,"Who should buy: If you're any of the following, don't write off the Adistar from Adidas: neutral runners looking for a shoe that's stable and guides the foot, road runners who want a daily trainer with plenty of padding, runners who want a protective shoe for recovery days and long runs, and heel strikers who want to change their running stride. Pros: Stable landings, maxed-out cushion, relaxed and accommodating fit, roomy toe box, tongue stays in place, durable, summer-ready breathability, recycled upper, grippy on ice, great for long runs.","Who should not buy: Adidas fans who want something lighter and cushier can go for the Adidas Ultraboost Light. Runners who want a soft yet responsive ride can look at the Nike Invincible Run 3 or Hoka Clifton 9, and heel strikers who want a more forgiving rearfoot can opt for the Saucony Triumph 20 instead. Cons: Could be more responsive, firm for heel strikers, heavier than most trainers, becomes a brick in winter."
Adidas Adistar 2.0,https://runrepeat.com/adidas-adistar-20,"Who should buy: This workhorse from Adidas is for runners in search of a max-cushioned shoe for long and easy miles, a neutral shoe with a touch of support as a semi-stability shoe, a design that's stylish and comfortable enough for casual wear, and a daily trainer that doesn't break the bank because Adistar 2.0 costs $15 less than similar shoes. Pros: Cushioned for long miles, supportive for a neutral shoe, wide platform, secure foothold, well-padded interiors, highly breathable, great for casual wear, value for money, true to size.","Who should not buy: The Adidas Adistar 2.0 is very heavy at 11.6 oz / 328 g even for its max-cushioned kind, and there are shoes with the same heel stack that weigh nearly 100 g less, such as the Adidas Adizero SL and PUMA Velocity Nitro 2. If you are a heel striker, you may also prefer a plusher foam under the heel, like the Adidas Ultraboost Light. Cons: Heavier than average, firm heel landings."
Adidas Adistar 3,https://runrepeat.com/adidas-adistar-3,"Who should buy: The Adidas Adistar 3 is for fans of the previous Adistar models who demanded a lighter, more cushioned version because it delivers on both fronts, weekend warriors hitting the pavement 1 or 2 times a week who prioritize comfort in a running shoe, and budget-conscious buyers looking for a plush daily trainer that doubles as a comfortable walking shoe with a breathable upper. Pros: Amazing weight reduction, better running experience than v2, reasonably priced, suitable for walking, cushions long runs, breathable upper, exceptional all-around comfort.","Who should not buy: While the Adistar 3 offers several improvements over its predecessor, its stability has significantly decreased, making it a less appealing option for runners needing good support; more reliable mild-stability trainers include the ASICS GT 2000 12, Hoka Arahi 7, and ASICS Gel Kayano 31. Cons: No more Continental, lacks energy return, upper needs better durability."
Adidas Adizero Adios 7,https://runrepeat.com/adidas-adizero-adios-7,"Who should buy: The Adidas Adizero Adios 7 is a solid choice for anyone that needs a not-so-expensive but fast shoe, fans of old-school racing flats, and 5K/10K aficionados that want to do shorter-than-mile repeats on the track. Pros: Snappy ride, great for fast track workouts, well ventilated, amazing ground feel, lighter than ever, the outsole lasts forever, grippy Continental rubber, modestly priced.","Who should not buy: This shoe offers an energetic and potentially enjoyable ride, but it can also be physically demanding on the muscles. If you typically train in shoes with modern, cushioned foams, this racing flat may not be the ideal choice for fast workouts or races, especially given the availability of the highly acclaimed and Lightstrike-Pro-based Adidas Adizero Adios Pro 3. Cons: Not for cold weather, heel slippage, needs more Lightstrike Pro, ride is too firm."
Adidas Adizero Adios 8,https://runrepeat.com/adidas-adizero-adios-8,"Who should buy: The Adios 8 is a great choice for runners who want to go fast but do not enjoy the rigidity of carbon-plated shoes, prefer more ground-feel underfoot with a lower stack and cushioning that feels balanced, want a race-ready shoe that will not break the bank, go out for runs in the summertime or in hot climates, and have a wider foot. Pros: Extremely breathable, snappy and speedy ride, suitable for tempo runs and long distances, fits wider feet, secure lockdown, grippy and durable outsole, budget friendly for a race-ready shoe at $130, ideal for forefoot strikers.","Who should not buy: The more traditional sensation of the Adios 8’s midsole cushion means it does not provide the assistance or cruising capabilities of modern midsoles; for a speedy shoe with more technology underfoot, the Saucony Endorphin Speed 3 is a better option. Heel-striking or long-distance runners will also be better served with more foam underfoot and a slightly higher heel drop, such as the Saucony Endorphin Speed 3 or ASICS Metaspeed Sky+. Runners with a pronating stride should consider the Brooks Launch GTS 10 instead. Cons: Could be lighter, not for harsh winter days, noisy."
Adidas Adizero Adios 9,https://runrepeat.com/adidas-adizero-adios-9,"Who should buy: The Adios 9 is the perfect shoe for runners who miss old-school racing flats with low stacks and zero plates, those wanting a tempo-ready shoe that feels fast and natural, lightweight midfoot strikers seeking a shoe for fast-paced efforts with massive energy return, and fans of the Adizero Adios 8 because version 9 is a huge upgrade. Pros: Full Lightstrike Pro superfoam, incredibly lightweight and fun, great for tempo sessions, works as a plateless 5K/10K racer, durable and grippy outsole, excellent value, ideal for track workouts.","Who should not buy: The Adios 9 is not the best choice for runners needing generous cushioning because its low-stack build feels ultra-connected to the ground and may fall short for those wanting the ultimate leg-saving experience; the Adizero EVO SL is a better fit for that. It is also not recommended for runners who expect a super shoe-like experience because it lacks the rigid, carbon-plated snap that defines that category; for a more race-ready feel in a low-stack format, the Nike Streakfly 2 or New Balance FuelCell SuperComp Pacer v2 are better alternatives. Cons: Not stable at all, tapered toebox, not ideal for heel strikers, upper lacks airflow."
Adidas Adizero Adios Pro 2.0,https://runrepeat.com/adidas-adizero-adios-pro-20,"Who should buy: Buy this shoe if you want a top-end race day shoe to squeeze your best effort out of. It is fast, fairly comfortable, decently priced, and proven to win world records. If you are a three-stripe fan and want a super shoe alternative to the usual choice, this is the one. Pros: Breathable, responsive, carbon rods, soft midsole, laces stay tight, price.","Who should not buy: Do not buy this shoe if you have super wide feet, if you do not need the top-of-the-line but still want a fast modern race shoe and would rather check out the Adidas Adizero Boston 12, or if you just want a fun, bouncy, light shoe but do not need it to be carbon plated and would rather try the New Balance FuelCell Rebel v2. Cons: Runs narrow, unstable at slow speeds."
