shoe_name,url,positive_text,negative_text
Adidas Dame 9,https://runrepeat.com/adidas-dame-9,"Who should buy: Players who prioritize stability, lockdown, support, and reliable impact protection, especially hoopers who jump often and still want some comfort and snap
Pros: Its very stable platform, secure lockdown, solid responsiveness, strong impact protection, excellent lateral containment, comfort, and good traction on clean courts, plus a fit that works well for wide feet","Who should not buy: Players who want a lighter shoe or cleaner dust-resistant traction
Cons: That it is on the heavier side and tends to pick up dust"
Adidas D.O.N. Issue #6,https://runrepeat.com/adidas-don-issue-6,"Who should buy: Players who want elite traction, great support and containment, and a breathable shoe that does not feel heavy
Pros: Phenomenal grip even on dusty courts, strong containment and lockdown, good support, solid impact protection, a lightweight feel, breathable construction, comfort, and strong value","Who should not buy: Players who want a very soft underfoot ride or a shoe that feels perfect immediately out of the box
Cons: Its firmer cushioning and the need for a break-in period"
Adidas Harden Vol. 9,https://runrepeat.com/adidas-harden-vol-9,"Who should buy: Players who want a bouncy and supportive ride with strong containment, heel protection, and all-around comfort
Pros: Excellent lock-in, a dynamic and bouncy feel, strong heel impact protection, good durability, decent breathability, reliable traction, and overall comfort","Who should not buy: Players who need more forefoot cushioning, a lighter build, or a roomier fit
Cons: Minimal forefoot cushioning, above-average weight, dust pickup, and a snug fit"
Nike Ja 2,https://runrepeat.com/nike-ja-2,"Who should buy: Quick guards and players who want a fast, lightweight, responsive shoe with strong traction and excellent court feel
Pros: Fantastic court feel, a very lightweight build, great traction, a springy forefoot, speedy transitions, no break-in period, and decent breathability","Who should not buy: Players who want premium-feeling materials, outdoor durability, or plush cushioning
Cons: Cheap-feeling materials, weak outdoor suitability, and only modest cushioning"
Adidas Anthony Edwards 1 Low,https://runrepeat.com/adidas-anthony-edwards-1-low,"Who should buy: Players who want elite traction, strong support, high durability, and stable move control in a stylish low-top
Pros: Outstanding grip, excellent support, durability, stability, solid upper structure, and good ground feel","Who should not buy: Players who want a shoe that feels light right away, works outdoors, or needs no break-in
Cons: A break-in period, a heavy build, and poor outdoor suitability"
Nike LeBron 22,https://runrepeat.com/nike-le-bron-22,"Who should buy: Players who want top-tier traction, strong support, great containment, and a durable signature shoe with a responsive ride
Pros: Excellent traction, stability, support, responsiveness, solid impact protection, and long-lasting construction","Who should not buy: Players who care most about weight or breathability
Cons: That it is heavy and not breathable"
Nike Book 1,https://runrepeat.com/nike-book-1,"Who should buy: Quick players who like smooth transitions, solid lockdown, lots of padding, and a shoe that can double as a stylish everyday sneaker
Pros: Comfort after break-in, durable construction, strong outsole grip, smooth heel-to-toe transitions, lockdown, padding, and acceptable occasional outdoor use","Who should not buy: Players who need breathability, instant comfort, or more bounce and cushioning
Cons: Poor breathability and the need for a break-in period"
PUMA All Pro Nitro,https://runrepeat.com/puma-all-pro-nitro,"Who should buy: Players who want dependable traction on clean or dusty courts, a stable feel, secure containment, and a lightweight all-around performer
Pros: Excellent grip, stability, containment, occasional outdoor usability, decent impact protection, low weight, and flexibility","Who should not buy: Wide-footed players or those who want maximum court feel
Cons: A snug fit for wide feet and only average court feel"
Nike KD 18,https://runrepeat.com/nike-kd-18,"Who should buy: Players who want premium cushioning, forefoot pop, great traction, and strong support with some outdoor viability
Pros: Excellent shock absorption, strong forefoot energy return, superb traction, good ankle support, secure lockdown, comfort, decent breathability, and promising durability","Who should not buy: Players who want a light shoe, a wide fit, or a clearly upgraded follow-up to the kd 17
Cons: Above-average weight, a narrow fit, and limited changes from the previous version"
Nike Sabrina 2,https://runrepeat.com/nike-sabrina-2,"Who should buy: Fast, skill-based players who want a responsive, lightweight performance shoe with strong traction and lots of court feel
Pros: High-level playability, responsive cushioning, a speedy feel, light weight, durable upper construction, decent breathability, court feel, and no break-in period","Who should not buy: Outdoor play or for bigger players who need more protection and support
Cons: Poor streetball suitability and limited appeal for heavier players"
