shoe_name,url,positive_text,negative_text
New Balance 9060,https://runrepeat.com/new-balance-9060,"comfortable and cushioned for all-day wear; premium materials and craftsmanship; stable platform with strong grip; good for fashion-minded buyers who want a chunky, running-inspired New Balance","limited color options, can squeak, and can run warm; not ideal if you want a squeak-free, highly breathable sneaker"
Nike V2K Run,https://runrepeat.com/nike-v2k-run,"cushioned, lively, and supportive for all-day wear; breathable summer upper; lightweight with reliable grip; great for retro-Y2K fans who want a sporty, more affordable alternative to the Vomero 5",limited men's sizing and colors plus a tapered toebox; not ideal if you need more toe room or broader men's availability
New Balance 1000,https://runrepeat.com/new-balance-1000,"very comfortable for all-day wear with soft protective cushioning; breathable, lightweight, stable, and stylish with real suede; good for buyers who want a trendy retro shoe for long hours on foot",mesh components are a bit fragile and the tongue can feel too long; not ideal if you want a tougher upper or a cheaper similar retro option
ASICS Gel 1130,https://runrepeat.com/asics-gel-1130,"comfortable all-day wear with a stable platform; supportive foothold, strong grip, roomy big-toe area, and top-notch materials/craftsmanship; good for people who want a stylish stability sneaker with modern comfort","the leather version lacks breathability and the shoe feels quite stiff; not ideal for hot-summer wear or buyers who want a softer, airier option"
Nike Zoom Vomero 5,https://runrepeat.com/nike-zoom-vomero-5,"nostalgic 2000s style; excellent breathability for summer; cushioned like a running shoe; comfy, flexible, and lighter than average; good for people wanting an exceptionally breathable, all-day retro runner-inspired sneaker","mesh is easy to tear, can be slippery on wet surfaces, and is pricey; not ideal for flat feet/overpronation or buyers on a budget"
Nike Initiator,https://runrepeat.com/nike-initiator,"great impact protection for long days; fairly stable and supportive, lightweight, durable, breathable, and grippy; good for buyers wanting an affordable retro running look for errands and casual wear",not suitable for actual running and can run small; wide-footed buyers may want something roomier
ASICS Gel Kayano 14,https://runrepeat.com/asics-gel-kayano-14,trendy Y2K retro-futuristic style; breathable and lightweight for long walks; stable and comfortable with GEL cushioning; great for people who want a fashionable sporty shoe that can handle hours around town,not the most durable and not very affordable; not ideal if you want a shoe to wear down for ages
New Balance 530,https://runrepeat.com/new-balance-530,"incredibly breathable, lightweight, and comfortable with a protective midsole; great value, many colorways, and a classic chunky retro vibe; ideal for budget-conscious buyers who want a breathable summer sneaker",upper durability is a weak spot and it is not great for cold weather; not ideal if you need a hard-wearing winter sneaker
Nike Dunk Low,https://runrepeat.com/nike-dunk-low,"retro basketball aesthetics; real leather/suede upper; excellent durability for the price; stable, supportive, surprisingly flexible, and true to size; good for skaters or buyers who want a durable classic","needs breaking in, has a firm rigid sole, and is not for all-day wear"
Air Jordan 1 Low,https://runrepeat.com/air-jordan-1-low,iconic history and timeless profile; well-made and highly durable; works as a wardrobe staple for hours on city streets; slightly lighter than AF1 and offers better cushioning than Dunk Low,"poor breathability, thick unforgiving leather, and a narrower tapered profile; not ideal for wide feet or hot summer wear"
